SN,Nama_Barang,Kode_Gudang,Deskripsi
ZTEGDB14600E,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A6B4F,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDACAD3CF,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD91EEBEE,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A6E32,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A671F,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDC4AB41C,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A3A30,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A633F,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDB144862,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A5335,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A3AD1,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDACAC7E8,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD9140971,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDC6C9563,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDB1466E9,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDACAD87B,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
